gamma,q,t,delta_a,delta_b,r,spread,spread_expected,spread_err,quote_mid,midpoint_err
0.01,-5,0.0,0.884454271866851,0.484454271866851,100.2,1.368908543733702,1.3689085437337023,2.220446049250313e-16,100.2,0.0
0.01,-5,0.25,0.829454271866851,0.529454271866851,100.15,1.358908543733702,1.3589085437337023,2.220446049250313e-16,100.15,0.0
0.01,-5,0.5,0.774454271866851,0.574454271866851,100.1,1.348908543733702,1.3489085437337023,2.220446049250313e-16,100.1,0.0
0.01,-5,0.75,0.7194542718668511,0.619454271866851,100.05,1.338908543733702,1.3389085437337023,2.220446049250313e-16,100.05,0.0
0.01,-5,1.0,0.664454271866851,0.664454271866851,100.0,1.328908543733702,1.3289085437337023,2.220446049250313e-16,100.0,0.0
0.01,-1,0.0,0.724454271866851,0.644454271866851,100.04,1.3689085437337019,1.3689085437337023,4.440892098500626e-16,100.03999999999999,1.4210854715202004e-14
0.01,-1,0.25,0.7094542718668511,0.649454271866851,100.03,1.358908543733702,1.3589085437337023,2.220446049250313e-16,100.03,0.0
0.01,-1,0.5,0.694454271866851,0.654454271866851,100.02,1.348908543733702,1.3489085437337023,2.220446049250313e-16,100.02,0.0
0.01,-1,0.75,0.679454271866851,0.659454271866851,100.01,1.338908543733702,1.3389085437337023,2.220446049250313e-16,100.00999999999999,1.4210854715202004e-14
0.01,-1,1.0,0.664454271866851,0.664454271866851,100.0,1.328908543733702,1.3289085437337023,2.220446049250313e-16,100.0,0.0
0.01,0,0.0,0.684454271866851,0.684454271866851,100.0,1.368908543733702,1.3689085437337023,2.220446049250313e-16,100.0,0.0
0.01,0,0.25,0.679454271866851,0.679454271866851,100.0,1.358908543733702,1.3589085437337023,2.220446049250313e-16,100.0,0.0
0.01,0,0.5,0.674454271866851,0.674454271866851,100.0,1.348908543733702,1.3489085437337023,2.220446049250313e-16,100.0,0.0
0.01,0,0.75,0.669454271866851,0.669454271866851,100.0,1.338908543733702,1.3389085437337023,2.220446049250313e-16,100.0,0.0
0.01,0,1.0,0.664454271866851,0.664454271866851,100.0,1.328908543733702,1.3289085437337023,2.220446049250313e-16,100.0,0.0
0.01,1,0.0,0.644454271866851,0.724454271866851,99.96,1.3689085437337019,1.3689085437337023,4.440892098500626e-16,99.96000000000001,1.4210854715202004e-14
0.01,1,0.25,0.649454271866851,0.7094542718668511,99.97,1.358908543733702,1.3589085437337023,2.220446049250313e-16,99.97,0.0
0.01,1,0.5,0.654454271866851,0.694454271866851,99.98,1.348908543733702,1.3489085437337023,2.220446049250313e-16,99.98,0.0
0.01,1,0.75,0.659454271866851,0.679454271866851,99.99,1.338908543733702,1.3389085437337023,2.220446049250313e-16,99.99000000000001,1.4210854715202004e-14
0.01,1,1.0,0.664454271866851,0.664454271866851,100.0,1.328908543733702,1.3289085437337023,2.220446049250313e-16,100.0,0.0
0.01,5,0.0,0.484454271866851,0.884454271866851,99.8,1.368908543733702,1.3689085437337023,2.220446049250313e-16,99.8,0.0
0.01,5,0.25,0.529454271866851,0.829454271866851,99.85,1.358908543733702,1.3589085437337023,2.220446049250313e-16,99.85,0.0
0.01,5,0.5,0.574454271866851,0.774454271866851,99.9,1.348908543733702,1.3489085437337023,2.220446049250313e-16,99.9,0.0
0.01,5,0.75,0.619454271866851,0.7194542718668511,99.95,1.338908543733702,1.3389085437337023,2.220446049250313e-16,99.95,0.0
0.01,5,1.0,0.664454271866851,0.664454271866851,100.0,1.328908543733702,1.3289085437337023,2.220446049250313e-16,100.0,0.0
0.1,-5,0.0,2.845385211375712,-1.1546147886242886,102.0,1.6907704227514233,1.6907704227514233,0.0,102.0,0.0
0.1,-5,0.25,2.295385211375712,-0.7046147886242885,101.5,1.5907704227514237,1.5907704227514234,2.220446049250313e-16,101.5,0.0
0.1,-5,0.5,1.7453852113757118,-0.25461478862428844,101.0,1.4907704227514234,1.4907704227514234,0.0,101.0,0.0
0.1,-5,0.75,1.1953852113757115,0.19538521137571158,100.5,1.390770422751423,1.3907704227514235,4.440892098500626e-16,100.5,0.0
0.1,-5,1.0,0.6453852113757116,0.6453852113757116,100.0,1.2907704227514232,1.2907704227514234,2.220446049250313e-16,100.0,0.0
0.1,-1,0.0,1.2453852113757118,0.4453852113757116,100.4,1.6907704227514233,1.6907704227514233,0.0,100.4,0.0
0.1,-1,0.25,1.0953852113757117,0.49538521137571156,100.3,1.5907704227514232,1.5907704227514234,2.220446049250313e-16,100.30000000000001,1.4210854715202004e-14
0.1,-1,0.5,0.9453852113757116,0.5453852113757116,100.2,1.4907704227514231,1.4907704227514234,2.220446049250313e-16,100.19999999999999,1.4210854715202004e-14
0.1,-1,0.75,0.7953852113757116,0.5953852113757115,100.1,1.390770422751423,1.3907704227514235,4.440892098500626e-16,100.1,0.0
0.1,-1,1.0,0.6453852113757116,0.6453852113757116,100.0,1.2907704227514232,1.2907704227514234,2.220446049250313e-16,100.0,0.0
0.1,0,0.0,0.8453852113757117,0.8453852113757117,100.0,1.6907704227514233,1.6907704227514233,0.0,100.0,0.0
0.1,0,0.25,0.7953852113757116,0.7953852113757116,100.0,1.5907704227514232,1.5907704227514234,2.220446049250313e-16,100.0,0.0
0.1,0,0.5,0.7453852113757116,0.7453852113757116,100.0,1.4907704227514231,1.4907704227514234,2.220446049250313e-16,100.0,0.0
0.1,0,0.75,0.6953852113757116,0.6953852113757116,100.0,1.3907704227514233,1.3907704227514235,2.220446049250313e-16,100.0,0.0
0.1,0,1.0,0.6453852113757116,0.6453852113757116,100.0,1.2907704227514232,1.2907704227514234,2.220446049250313e-16,100.0,0.0
0.1,1,0.0,0.4453852113757116,1.2453852113757118,99.6,1.6907704227514233,1.6907704227514233,0.0,99.6,0.0
0.1,1,0.25,0.49538521137571156,1.0953852113757117,99.7,1.5907704227514232,1.5907704227514234,2.220446049250313e-16,99.69999999999999,1.4210854715202004e-14
0.1,1,0.5,0.5453852113757116,0.9453852113757116,99.8,1.4907704227514231,1.4907704227514234,2.220446049250313e-16,99.80000000000001,1.4210854715202004e-14
0.1,1,0.75,0.5953852113757115,0.7953852113757116,99.9,1.390770422751423,1.3907704227514235,4.440892098500626e-16,99.9,0.0
0.1,1,1.0,0.6453852113757116,0.6453852113757116,100.0,1.2907704227514232,1.2907704227514234,2.220446049250313e-16,100.0,0.0
0.1,5,0.0,-1.1546147886242886,2.845385211375712,98.0,1.6907704227514233,1.6907704227514233,0.0,98.0,0.0
0.1,5,0.25,-0.7046147886242885,2.295385211375712,98.5,1.5907704227514237,1.5907704227514234,2.220446049250313e-16,98.5,0.0
0.1,5,0.5,-0.25461478862428844,1.7453852113757118,99.0,1.4907704227514234,1.4907704227514234,0.0,99.0,0.0
0.1,5,0.75,0.19538521137571158,1.1953852113757115,99.5,1.390770422751423,1.3907704227514235,4.440892098500626e-16,99.5,0.0
