gamma,q,omega,r_a_bar,r_b_bar,r_a_minus_s,s_minus_r_b,r_avg,skew_a_minus_b
0.01,-10,0.024200000000000003,169.3147180559945,164.4357016390513,69.31471805599449,-64.4357016390513,166.8752098475229,4.8790164169431876
0.01,-9,0.024200000000000003,138.8657989791783,135.41718137206138,38.865798979178294,-35.41718137206138,137.14149017561982,3.4486176071169155
0.01,-8,0.024200000000000003,126.10138253696196,123.36148511815051,26.101382536961964,-23.36148511815051,124.73143382755623,2.739897418811452
0.01,-7,0.024200000000000003,118.92419996385283,116.59851374742613,18.92419996385283,-16.598513747426125,117.76135685563948,2.3256862164267034
0.01,-6,0.024200000000000003,114.23162221802554,112.16969349775198,14.231622218025535,-12.169693497751979,113.20065785788876,2.0619287202735563
0.01,-5,0.024200000000000003,110.84806429940699,108.96121586896871,10.848064299406985,-8.961215868968708,109.90464008418785,1.8868484304382775
0.01,-4,0.024200000000000003,108.2238098236972,106.45385211375712,8.223809823697195,-6.453852113757122,107.33883096872717,1.7699577099400727
0.01,-3,0.024200000000000003,106.06246218164348,104.36750635026617,6.0624621816434825,-4.367506350266169,105.21498426595483,1.6949558313773139
0.01,-2,0.024200000000000003,104.18471099355006,102.53178079842898,4.1847109935500555,-2.531780798428983,103.35824589598951,1.6529301951210726
0.01,-1,0.024200000000000003,102.46926125903714,100.8298802814695,2.4692612590371397,-0.8298802814694994,101.64957077025332,1.6393809775676402
0.01,0,0.024200000000000003,100.82304991365154,99.17011971853049,0.8230499136515448,0.8298802814695136,99.99658481609102,1.6529301951210584
0.01,1,0.024200000000000003,99.16317503294835,97.468219201571,-0.8368249670516548,2.531780798428997,98.31569711725967,1.6949558313773423
0.01,2,0.024200000000000003,97.40245135967393,95.63249364973385,-2.5975486403260675,4.367506350266154,96.51747250470389,1.769957709940087
0.01,3,0.024200000000000003,95.43299631668117,93.54614788624288,-4.5670036833188306,6.453852113757122,94.48957210146202,1.8868484304382918
0.01,4,0.024200000000000003,93.10071285130486,91.03878413103128,-6.899287148695137,8.961215868968722,92.06974849116807,2.0619287202735848
0.01,5,0.024200000000000003,90.15599271867475,87.83030650224802,-9.844007281325247,12.169693497751979,88.99314961046139,2.325686216426732
0.01,6,0.024200000000000003,86.14138367138533,83.40148625257387,-13.858616328614673,16.598513747426125,84.7714349619796,2.739897418811452
0.01,7,0.024200000000000003,80.0871324889664,76.63851488184949,-19.912867511033596,23.36148511815051,78.36282368540795,3.4486176071169155
0.01,8,0.024200000000000003,69.46183504488182,64.58281862793861,-30.538164955118177,35.41718137206139,67.02232683641022,4.879016416943216
0.01,9,0.024200000000000003,44.66147618152137,35.564298360948726,-55.33852381847863,64.43570163905127,40.11288727123505,9.097177820572647
0.01,10,0.024200000000000003,-135.13752571634717,-3435.050620855721,-235.13752571634717,3535.050620855721,-1785.094073286034,3299.9130951393736
0.1,-10,2.4200000000000004,106.93147180559946,106.44357016390514,6.9314718055994575,-6.443570163905136,106.6875209847523,0.4879016416943216
0.1,-9,2.4200000000000004,103.88657989791783,103.54171813720615,3.8865798979178265,-3.5417181372061464,103.714149017562,0.3448617607116802
0.1,-8,2.4200000000000004,102.61013825369619,102.33614851181505,2.610138253696192,-2.336148511815054,102.47314338275562,0.2739897418811381
0.1,-7,2.4200000000000004,101.89241999638529,101.65985137474262,1.8924199963852857,-1.6598513747426153,101.77613568556396,0.23256862164267034
0.1,-6,2.4200000000000004,101.42316222180256,101.2169693497752,1.4231622218025564,-1.2169693497751979,101.32006578578887,0.20619287202735848
0.1,-5,2.4200000000000004,101.0848064299407,100.89612158689687,1.0848064299406985,-0.8961215868968679,100.99046400841878,0.1886848430438306
0.1,-4,2.4200000000000004,100.82238098236972,100.64538521137571,0.8223809823697223,-0.6453852113757108,100.73388309687272,0.17699577099401154
0.1,-3,2.4200000000000004,100.60624621816434,100.43675063502661,0.606246218164344,-0.4367506350266126,100.52149842659549,0.1694955831377314
0.1,-2,2.4200000000000004,100.418471099355,100.2531780798429,0.4184710993550027,-0.25317807984289686,100.33582458959896,0.16529301951210584
0.1,-1,2.4200000000000004,100.24692612590371,100.08298802814696,0.24692612590371255,-0.08298802814695705,100.16495707702533,0.1639380977567555
0.1,0,2.4200000000000004,100.08230499136515,99.91701197185304,0.0823049913651488,0.08298802814695705,99.99965848160909,0.16529301951210584
0.1,1,2.4200000000000004,99.91631750329483,99.7468219201571,-0.08368249670516548,0.25317807984289686,99.83156971172596,0.1694955831377314
0.1,2,2.4200000000000004,99.7402451359674,99.56324936497339,-0.25975486403260106,0.4367506350266126,99.6517472504704,0.17699577099401154
0.1,3,2.4200000000000004,99.54329963166812,99.35461478862429,-0.4567003683318802,0.6453852113757108,99.4489572101462,0.1886848430438306
0.1,4,2.4200000000000004,99.31007128513049,99.10387841310313,-0.6899287148695095,0.8961215868968679,99.20697484911682,0.20619287202735848
0.1,5,2.4200000000000004,99.01559927186747,98.7830306502248,-0.9844007281325275,1.2169693497751979,98.89931496104614,0.23256862164267034
0.1,6,2.4200000000000004,98.61413836713854,98.34014862525738,-1.385861632861463,1.6598513747426153,98.47714349619795,0.2739897418811523
0.1,7,2.4200000000000004,98.00871324889664,97.66385148818495,-1.9912867511033596,2.336148511815054,97.8362823685408,0.3448617607116944
0.1,8,2.4200000000000004,96.94618350448818,96.45828186279385,-3.0538164955118248,3.5417181372061464,96.70223268364101,0.4879016416943216
0.1,9,2.4200000000000004,94.46614761815214,93.55642983609486,-5.533852381847865,6.443570163905136,94.0112887271235,0.909717782057271
